,price,ranks,title,no_of_reviews,ratings,author,cover_type,year,category
72,10.5,75,How to Win Friends & Influence People,"79,094",4.7,Dale Carnegie,Paperback,2009,Non Fiction
73,41,76,The Official SAT Study Guide,The College Board,4.4,,Paperback,2009,Non Fiction
74,14.01,77,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),"3,294",4.6,Janet Evanovich,Hardcover,2009,unknown
75,10.83,78,Sarah's Key,"4,784",4.6,Tatiana de Rosnay,Paperback,2009,Fiction
76,7.99,79,From Dead to Worse (Sookie Stackhouse/True Blood),"2,080",4.7,Charlaine Harris,Mass Market Paperback,2009,unknown
77,34.23,80,Wolf Hall,"10,808",4.1,Hilary Mantel,Hardcover,2009,unknown
78,22.6,81,The Hunger Games,"42,770",4.7,Suzanne Collins,Hardcover,2009,Fiction
79,13.2,82,The Yankee Years,425,4.6,Joe Torre,Hardcover,2009,unknown
80,,83,Push: A Novel,"1,477",4.6,Sapphire,Paperback,2009,unknown
81,14.95,84,The End of Overeating: Taking Control of the Insatiable American Appetite,956,4.3,David Kessler,Hardcover,2009,unknown
82,11.52,85,The Lacuna: A Novel,"1,787",4.3,Barbara Kingsolver,Hardcover,2009,unknown
83,17.99,86,Crucial Conversations: Tools for Talking When Stakes are High,772,4.5,Kerry Patterson,Paperback,2009,unknown
84,10.97,87,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,"2,194",4.7,Nicholas D. Kristof,Hardcover,2009,unknown
85,11.95,88,The Associate,"3,826",4.4,John Grisham,Hardcover,2009,unknown
86,22.72,89,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,"2,189",4.7,Jeff Hertzberg,Hardcover,2009,unknown
87,9.99,90,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),Sarah Thomson,4.5,,Paperback,2009,unknown
88,9.31,91,Pursuit of Honor,"3,525",4.7,Vince Flynn,Hardcover,2009,unknown
89,23.65,92,What the Dog Saw: And Other Adventures,"2,143",4.6,Malcolm Gladwell,Hardcover,2009,unknown
90,13.99,93,The Last Song,"3,597",4.7,Nicholas Sparks,Hardcover,2009,unknown
91,17.99,94,Atlas Shrugged,"14,137",4.5,Ayn Rand,Paperback,2009,unknown
92,10.79,95,The White Tiger: A Novel,"6,013",4.3,Aravind Adiga,Paperback,2009,unknown
93,17.89,96,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,3.5,,Hardcover,2009,unknown
94,16.14,97,Same Kind of Different As Me,Ron Hall,4.7,,Paperback,2009,unknown
95,12.85,98,U is for Undertow: A Kinsey Millhone Novel,"2,801",4.6,Sue Grafton,Hardcover,2009,unknown
96,9.49,99,Catching Fire (The Hunger Games),"32,459",4.7,Suzanne Collins,Hardcover,2009,Fiction
97,11.93,1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),"11,051",4.7,Stieg Larsson,Hardcover,2010,Fiction
98,9.49,2,The Girl with the Dragon Tattoo (Millennium Series),"15,466",4.5,Stieg Larsson,Paperback,2010,Fiction
99,8.96,3,Decision Points,"2,399",4.6,George W. Bush,Hardcover,2010,Non Fiction
100,13.78,4,The Help,"18,068",4.8,Kathryn Stockett,Hardcover,2010,Fiction
101,11.12,5,The Girl Who Played with Fire (Millennium Series),"10,693",4.7,Stieg Larsson,Paperback,2010,Fiction
102,11.71,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","10,589",4.8,Jeff Kinney,Hardcover,2010,Fiction
103,18.29,7,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2010,Non Fiction
104,9.08,8,Mockingjay (The Hunger Games),"37,034",4.6,Suzanne Collins,Hardcover,2010,Fiction
105,13.92,9,Women Food and God: An Unexpected Path to Almost Everything,"1,967",4.4,Geneen Roth,Hardcover,2010,Non Fiction
106,24.29,10,"Publication Manual of the American Psychological Association, 6th Edition","12,674",4.5,American Psychological Association,Paperback,2010,Non Fiction
107,22,11,"Autobiography of Mark Twain, Vol. 1",612,4.4,Mark Twain,Hardcover,2010,Non Fiction
108,18.24,12,The Big Short: Inside the Doomsday Machine,"5,893",4.7,Michael Lewis,Hardcover,2010,Non Fiction
109,11.57,13,Food Rules: An Eater's Manual,"2,494",4.5,Michael Pollan,Paperback,2010,Non Fiction
110,14.54,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,629",4.8,Laura Hillenbrand,Hardcover,2010,Non Fiction
111,9.03,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","3,296",4.6,Charlaine Harris,Hardcover,2010,Fiction
112,14.99,16,Sh*t My Dad Says,"1,781",4.7,Justin Halpern,Hardcover,2010,Non Fiction
113,16.48,17,Crazy Love: Overwhelmed by a Relentless God,"1,920",4.7,Francis Chan,Paperback,2010,Non Fiction
114,10.59,18,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),"6,165",4.7,Stephenie Meyer,Hardcover,2010,Fiction
115,13.8,19,Life,"4,699",4.6,Keith Richards,Hardcover,2010,Non Fiction
116,12,20,Cutting for Stone,"6,790",4.6,Abraham Verghese,Paperback,2010,Fiction
117,12.89,21,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,576,4.5,Jon Stewart,Hardcover,2010,Non Fiction
118,41,22,The Official SAT Study Guide,The College Board,4.4,,Paperback,2010,Non Fiction
119,7.92,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","1,358",4.5,John Heilemann,Hardcover,2010,Non Fiction
120,14.19,24,The Immortal Life of Henrietta Lacks,"16,936",4.7,Rebecca Skloot,Hardcover,2010,Non Fiction
121,14.53,25,"The Lost Hero (Heroes of Olympus, Book 1)","11,549",4.8,Rick Riordan,Hardcover,2010,Fiction
122,22.99,26,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,860,4.5,Doug Lemov,Paperback,2010,Non Fiction
123,16.04,27,Outliers: The Story of Success,"22,209",4.7,Malcolm Gladwell,Hardcover,2010,Non Fiction
124,9.49,28,Catching Fire (The Hunger Games),"32,459",4.7,Suzanne Collins,Hardcover,2010,Fiction
125,20.72,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2010,unknown
126,16.5,30,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,803",4.5,Jim Collins,Hardcover,2010,Non Fiction
127,11.49,31,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,"3,497",4.4,Greg Mortenson,Paperback,2010,Non Fiction
128,17,32,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)","2,406",4.7,F. A. Hayek,Paperback,2010,Non Fiction
129,9.35,33,The Confession: A Novel,"7,914",4.4,John Grisham,Hardcover,2010,Fiction
130,16.97,34,"Delivering Happiness: A Path to Profits, Passion, and Purpose","3,242",4.6,Tony Hsieh,Hardcover,2010,Non Fiction
131,44.5,35,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.7,,Paperback,2010,Non Fiction
132,10.44,36,"The Last Olympian (Percy Jackson and the Olympians, Book 5)","14,955",4.8,Rick Riordan,Hardcover,2010,Fiction
133,16.99,37,Switch: How to Change Things When Change Is Hard,"3,912",4.6,Chip Heath,Hardcover,2010,Non Fiction
134,9.8,38,The Art of Racing in the Rain: A Novel,"16,418",4.7,Garth Stein,Paperback,2010,Fiction
135,23.99,39,The 5 Love Languages: The Secret to Love That Lasts,"7,012",4.7,Gary Chapman,Paperback,2010,Non Fiction
136,9.07,40,"Broke: The Plan to Restore Our Trust, Truth and Treasure",531,4.5,Glenn Beck,Hardcover,2010,Non Fiction
137,10.61,41,"The Red Pyramid (The Kane Chronicles, Book 1)","5,025",4.7,Rick Riordan,Hardcover,2010,Fiction
138,,42,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),"1,223",4.8,Rick Riordan,Paperback,2010,Fiction
139,10.2,43,Little Bee: A Novel,"1,902",4.2,Chris Cleave,Paperback,2010,Fiction
140,15.79,44,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips","1,371",4.8,Ina Garten,Hardcover,2010,Non Fiction
141,29.22,45,George Washington's Sacred Fire,612,4.6,Peter A. Lillback,Paperback,2010,Non Fiction
142,9.21,46,Radical: Taking Back Your Faith from the American Dream,"2,727",4.7,David Platt,Paperback,2010,Non Fiction
143,21.49,47,"Towers of Midnight (Wheel of Time, Book Thirteen)","7,325",4.8,Robert Jordan,Hardcover,2010,Fiction
144,10.83,48,Sarah's Key,"4,784",4.6,Tatiana de Rosnay,Paperback,2010,Fiction
145,22.6,49,The Hunger Games,"42,770",4.7,Suzanne Collins,Hardcover,2010,Fiction
146,19.99,51,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,Paperback,2010,Non Fiction
147,12,52,Cleopatra: A Life,"1,586",4.2,Stacy Schiff,Hardcover,2010,unknown
148,12.23,53,Freedom: A Novel,"2,718",4,Jonathan Franzen,Hardcover,2010,unknown
149,17.48,54,Freedom,"2,718",4,Jonathan Franzen,Hardcover,2010,unknown
150,18.49,55,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","11,833",4.7,Christopher McDougall,Hardcover,2010,unknown
151,16.98,56,Fall of Giants (The Century Trilogy),"18,702",4.5,Ken Follett,Hardcover,2010,unknown
152,9.49,57,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia","8,494",4.4,Elizabeth Gilbert,Paperback,2010,unknown
153,9.27,58,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia","8,494",4.4,Elizabeth Gilbert,Paperback,2010,unknown
154,27.57,59,Tao I: The Way of All Life,Zhi Gang Sha Dr.,4.3,,Hardcover,2010,unknown
155,9.65,60,Chelsea Chelsea Bang Bang,"1,045",4.4,Chelsea Handler,Hardcover,2010,unknown
156,8.58,61,Let the Great World Spin: A Novel,"1,778",4.3,Colum McCann,Paperback,2010,unknown
157,14.52,62,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,"5,477",4.8,Ree Drummond,Hardcover,2010,unknown
158,12.99,63,The Tipping Point: How Little Things Can Make a Big Difference,"5,732",4.4,Malcolm Gladwell,Paperback,2010,Non Fiction
159,10.33,64,The Omnivore's Dilemma: A Natural History of Four Meals,"3,678",4.6,Michael Pollan,Paperback,2010,unknown
160,35.3,65,The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,"1,071",4.1,Jorge Cruise,Spiral-bound,2010,unknown
161,7.99,66,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)","13,936",4.8,Rick Riordan,Paperback,2010,unknown
162,13.39,67,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich","18,929",4.5,Timothy Ferriss,Hardcover,2010,unknown
163,19.59,68,"Full Dark, No Stars","3,418",4.6,Stephen King,Hardcover,2010,unknown
164,11.37,69,Sizzling Sixteen (Stephanie Plum Novels),"3,421",4.6,Janet Evanovich,Hardcover,2010,unknown
165,15.99,70,The Grand Design,"2,790",4.5,Stephen Hawking,Hardcover,2010,unknown
166,15,71,The Overton Window ,"1,311",4.6,Glenn Beck,Hardcover,2010,unknown
167,7.53,72,"Jesus Calling, Padded Hardcover, with Scripture references","31,196",4.9,Sarah Young,Hardcover,2010,unknown
168,12.6,73,Spoken from the Heart,668,4.6,Laura Bush,Hardcover,2010,unknown
169,21.98,74,Diary of a Wimpy Kid Do-it-yourself Book,"9,371",4.8,Jeff Kinney,Hardcover,2010,unknown
170,15.5,75,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,"3,959",4.7,Mark Nepo,Paperback,2010,unknown
171,28.49,76,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","7,568",4.8,Julia Child,Hardcover,2010,unknown
172,14.77,77,Safe Haven,"10,931",4.7,Nicholas Sparks,Hardcover,2010,unknown
173,14.3,78,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",853,4.5,Daniel G. Amen,Hardcover,2010,unknown
174,18.93,79,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet","1,572",4.5,Alicia Silverstone,Hardcover,2010,unknown
175,44.99,80,Decoded,"1,514",4.7,Jay-Z,Hardcover,2010,unknown
176,12.06,81,The Glass Castle: A Memoir (book),"19,006",4.6,Jeannette Walls,Paperback,2010,unknown
177,13.4,82,The Shack: Where Tragedy Confronts Eternity,"23,392",4.7,William P. Young,Paperback,2010,Fiction
178,14.3,83,"Breaking Dawn (The Twilight Saga, Book 4)","16,912",4.7,Stephenie Meyer,Hardcover,2010,Fiction
179,,84,Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),"1,234",4.7,Charlaine Harris,Mass Market Paperback,2010,unknown
180,10.42,85,The Guernsey Literary and Potato Peel Pie Society,"14,884",4.7,Mary Ann Shaffer,Paperback,2010,Fiction
181,13.49,86,Hotel on the Corner of Bitter and Sweet,"6,239",4.6,Jamie Ford,Paperback,2010,unknown
182,15.96,87,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","6,580",4.4,Timothy Ferriss,Hardcover,2010,Non Fiction
183,17.99,88,Crucial Conversations: Tools for Talking When Stakes are High,772,4.5,Kerry Patterson,Paperback,2010,unknown
184,11.25,89,"Happy Ever After (Bride Quartet, Book 4)","2,206",4.7,Nora Roberts,Paperback,2010,unknown
185,24.33,90,A Guide to the Project Management Body of Knowledge,726,4.4,Project Management Institute,Paperback,2010,unknown
186,6.99,91,The Book Thief,"34,536",4.7,Markus Zusak,Paperback,2010,Fiction
187,13.49,92,The Catcher in the Rye,"30,925",4.5,J. D. Salinger,Paperback,2010,unknown
188,24,93,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,4.7,,Paperback,2010,unknown
189,18.47,94,American Assassin: A Thriller (A Mitch Rapp Novel),"8,352",4.6,Vince Flynn,Hardcover,2010,unknown
190,13.99,95,Rework,"5,996",4.5,Jason Fried,Hardcover,2010,unknown
191,10.98,96,In Defense of Food: An Eater's Manifesto,"2,701",4.6,Michael Pollan,Paperback,2010,unknown
192,12.92,97,Squirrel Seeks Chipmunk: A Modest Bestiary,935,4.1,David Sedaris,Hardcover,2010,unknown
193,16.13,98,Who Moved My Cheese,"16,756",4.6,Spencer Johnson,Hardcover,2010,unknown
194,17.33,1,Steve Jobs,"12,780",4.7,Walter Isaacson,Hardcover,2011,Non Fiction
195,10.24,2,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"17,368",4.7,Todd Burpo,Paperback,2011,Non Fiction
196,,3,"Cabin Fever (Diary of a Wimpy Kid, Book 6)","11,127",4.8,Jeff Kinney,Hardcover,2011,Fiction
197,18.29,4,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2011,Non Fiction
198,11.69,5,The Hunger Games (Book 1),"42,770",4.7,Suzanne Collins,Paperback,2011,Fiction
199,14.54,6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,629",4.8,Laura Hillenbrand,Hardcover,2011,Non Fiction
200,15,7,Inheritance: Book IV (Inheritance Cycle),"9,010",4.7,Christopher Paolini,Hardcover,2011,Fiction
201,14.35,8,Go the F**k to Sleep,"20,243",4.8,Adam Mansbach,Hardcover,2011,Fiction
202,9.08,9,Mockingjay (The Hunger Games),"37,034",4.6,Suzanne Collins,Hardcover,2011,Fiction
203,54.98,10,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"6,354",4.6,George R.R. Martin,Mass Market Paperback,2011,Fiction
204,9.49,11,Catching Fire (The Hunger Games),"32,459",4.7,Suzanne Collins,Hardcover,2011,Fiction
205,16.97,12,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,,Hardcover,2011,Non Fiction
206,24.31,13,A Dance with Dragons (A Song of Ice and Fire),"17,252",4.5,George R. R. Martin,Hardcover,2011,Fiction
207,9.99,14,"The Son of Neptune (Heroes of Olympus, Book 2)","11,657",4.8,Rick Riordan,Hardcover,2011,Fiction
208,9.99,15,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),"10,849",4.7,Bill O'Reilly,Hardcover,2011,Non Fiction
209,24.29,16,"Publication Manual of the American Psychological Association, 6th Edition","12,674",4.5,American Psychological Association,Paperback,2011,Non Fiction
210,9.98,17,The Help,"18,068",4.8,Kathryn Stockett,Paperback,2011,Fiction
211,12.1,18,The Immortal Life of Henrietta Lacks,"16,936",4.7,Rebecca Skloot,Paperback,2011,Non Fiction
212,16.43,19,11/22/63: A Novel,"3,115",4.7,Stephen King,Hardcover,2011,Fiction
213,41,20,The Official SAT Study Guide,The College Board,4.4,,Paperback,2011,Non Fiction
214,7.53,21,"Jesus Calling, Padded Hardcover, with Scripture references","31,196",4.9,Sarah Young,Hardcover,2011,unknown
215,59.9,22,The Hunger Games Trilogy Boxed Set,"27,185",4.8,Suzanne Collins,Hardcover,2011,unknown
216,12,23,Cutting for Stone,"6,790",4.6,Abraham Verghese,Paperback,2011,Fiction
217,10.28,24,Tina Fey: Bossypants,"8,169",4.3,Tina Fey,Hardcover,2011,Non Fiction
218,15.96,25,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","6,580",4.4,Timothy Ferriss,Hardcover,2011,Non Fiction
219,14.49,26,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.5,,Hardcover,2011,Non Fiction
220,23.99,27,The 5 Love Languages: The Secret to Love That Lasts,"7,012",4.7,Gary Chapman,Paperback,2011,Non Fiction
221,16.48,28,Crazy Love: Overwhelmed by a Relentless God,"1,920",4.7,Francis Chan,Paperback,2011,Non Fiction
222,18.19,29,A Stolen Life: A Memoir,Jaycee Dugard,4.7,,Hardcover,2011,Non Fiction
223,11.93,30,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),"11,051",4.7,Stieg Larsson,Hardcover,2011,Fiction
224,11.28,31,Water for Elephants: A Novel,"4,923",4.5,Sara Gruen,Paperback,2011,Fiction
225,20.72,32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2011,unknown
226,12.8,33,The Lego Ideas Book: Unlock Your Imagination,"9,887",4.5,Daniel Lipkowitz,Hardcover,2011,Non Fiction
227,17.12,34,One Thousand Gifts: A Dare to Live Fully Right Where You Are,"4,514",4.6,Ann Voskamp,Hardcover,2011,Non Fiction
228,19.99,35,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,Paperback,2011,Non Fiction
229,13.91,36,"The Throne of Fire (The Kane Chronicles, Book 2)","3,821",4.8,Rick Riordan,Hardcover,2011,Fiction
